Booking ID,Booking Status
2,cancelled
3,cancelled
4,complete
5,cancelled
6,complete
7,complete
8,complete
9,complete
10,complete
11,complete
12,complete
13,complete
14,complete
15,complete
16,complete
17,complete
18,complete
19,complete
20,cancelled
21,complete
22,complete
23,cancelled
24,cancelled
25,complete
26,cancelled
27,complete
28,complete
29,cancelled
30,cancelled
31,complete
32,complete
33,cancelled
34,complete
35,complete
36,complete
37,complete
38,complete
39,cancelled
40,complete
41,complete
42,cancelled
43,complete
44,complete
45,complete
46,complete
47,cancelled
48,cancelled
49,cancelled
50,complete
51,complete
52,complete
53,complete
54,complete
55,complete
56,complete
57,complete
58,complete
59,complete
60,cancelled
61,cancelled
62,complete
63,complete
64,complete
65,complete
66,cancelled
67,complete
68,cancelled
69,complete
70,complete
71,complete
72,complete
73,cancelled
74,complete
75,complete
76,complete
77,complete
78,complete
79,cancelled
80,cancelled
81,complete
82,complete
83,cancelled
84,complete
85,complete
86,complete
87,complete
88,complete
89,complete
90,complete
91,complete
92,complete
93,complete
94,complete
95,complete
96,complete
97,complete
98,cancelled
99,complete
100,complete
101,complete
102,complete
103,complete
104,complete
105,complete
106,complete
107,complete
108,complete
109,complete
110,complete
111,complete
112,complete
113,complete
114,complete
115,cancelled
116,cancelled
117,complete
118,complete
119,complete
120,complete
121,complete
122,complete
123,cancelled
124,complete
125,complete
126,complete
127,complete
128,cancelled
129,complete
130,complete
131,complete
132,complete
133,complete
134,complete
135,complete
136,complete
137,complete
138,complete
139,complete
140,cancelled
141,complete
142,complete
143,complete
144,complete
145,complete
146,complete
147,complete
148,complete
149,complete
150,complete
151,complete
152,complete
153,complete
154,complete
155,complete
156,complete
157,complete
158,complete
159,complete
160,complete
161,cancelled
162,cancelled
163,complete
164,cancelled
165,cancelled
166,complete
167,cancelled
168,complete
169,complete
170,complete
171,complete
172,cancelled
173,complete
174,complete
175,complete
176,complete
177,complete
178,complete
179,cancelled
180,complete
181,complete
182,complete
183,complete
184,complete
185,complete
186,complete
187,complete
188,complete
189,complete
190,complete
191,cancelled
192,complete
193,cancelled
194,complete
195,cancelled
196,complete
197,complete
198,complete
199,complete
200,cancelled
201,complete
202,complete
203,complete
204,complete
205,complete
206,complete
207,complete
208,complete
209,complete
210,complete
211,complete
212,complete
213,complete
214,complete
215,complete
216,complete
217,complete
218,complete
219,complete
220,complete
221,complete
222,complete
223,complete
224,complete
225,complete
226,complete
227,complete
228,complete
229,complete
230,complete
231,complete
232,complete
233,complete
234,cancelled
235,complete
236,complete
237,complete
238,complete
239,complete
240,complete
241,complete
242,complete
243,complete
244,complete
245,complete
246,cancelled
247,complete
248,complete
249,complete
250,complete
251,complete
252,complete
253,complete
254,complete
255,complete
256,cancelled
257,complete
258,complete
259,complete
260,complete
261,complete
262,complete
263,complete
264,complete
265,complete
266,complete
267,complete
268,complete
269,complete
270,complete
271,cancelled
272,cancelled
273,complete
274,complete
275,complete
276,complete
277,complete
278,complete
279,complete
280,complete
281,complete
282,complete
283,complete
284,complete
285,complete
286,complete
287,complete
288,complete
289,complete
290,cancelled
291,complete
292,complete
293,complete
294,complete
295,complete
296,complete
297,complete
298,complete
299,complete
300,cancelled
301,complete
302,complete
303,cancelled
304,complete
305,cancelled
306,complete
307,complete
308,complete
309,complete
310,complete
311,complete
312,complete
313,complete
314,complete
315,complete
316,complete
317,complete
318,complete
319,cancelled
320,cancelled
321,complete
322,complete
323,complete
324,complete
325,complete
326,complete
327,complete
328,complete
329,complete
330,complete
331,cancelled
332,cancelled
333,complete
334,cancelled
335,cancelled
336,complete
337,complete
338,complete
339,complete
340,complete
341,cancelled
342,complete
343,complete
344,cancelled
345,complete
346,complete
347,complete
348,complete
349,complete
350,complete
351,complete
352,complete
353,complete
354,complete
355,complete
356,complete
357,complete
358,cancelled
359,complete
360,complete
361,complete
362,complete
363,complete
364,complete
365,complete
366,complete
367,cancelled
368,complete
369,complete
370,complete
371,complete
372,complete
373,complete
374,cancelled
375,complete
376,complete
377,complete
378,cancelled
379,complete
380,complete
381,complete
382,cancelled
383,complete
384,complete
385,cancelled
386,cancelled
387,complete
388,complete
389,complete
390,complete
391,complete
392,cancelled
393,complete
394,complete
395,complete
396,complete
397,complete
398,cancelled
399,complete
400,complete
401,complete
402,complete
403,complete
404,complete
405,complete
406,complete
407,complete
408,complete
409,complete
410,complete
411,complete
412,complete
413,complete
414,complete
415,complete
416,complete
417,cancelled
418,complete
419,complete
420,complete
421,cancelled
422,cancelled
423,cancelled
424,complete
425,complete
426,complete
427,cancelled
428,cancelled
429,complete
430,complete
431,complete
432,complete
433,complete
434,complete
435,complete
436,complete
437,complete
438,cancelled
439,complete
440,complete
441,complete
442,complete
443,complete
444,complete
445,complete
446,cancelled
447,complete
448,cancelled
449,complete
450,complete
451,complete
452,complete
453,complete
454,complete
455,cancelled
456,cancelled
457,cancelled
458,complete
459,complete
460,complete
461,complete
462,cancelled
463,cancelled
464,complete
465,complete
466,complete
467,complete
468,complete
469,complete
470,complete
471,complete
472,cancelled
473,cancelled
474,complete
475,complete
476,complete
477,complete
478,cancelled
479,complete
480,complete
481,complete
482,cancelled
483,complete
484,complete
485,complete
486,complete
487,complete
488,complete
489,complete
490,cancelled
491,complete
492,complete
493,cancelled
494,complete
495,cancelled
496,cancelled
497,complete
498,complete
499,complete
500,cancelled
501,complete
502,complete
503,complete
504,cancelled
505,cancelled
506,complete
507,cancelled
508,complete
509,cancelled
510,complete
511,complete
512,complete
513,complete
514,complete
515,complete
516,complete
517,complete
518,complete
519,complete
520,complete
521,complete
522,complete
523,complete
524,complete
525,complete
526,complete
527,complete
528,complete
529,complete
530,complete
531,complete
532,complete
533,complete
534,complete
535,complete
536,complete
537,complete
538,complete
539,complete
540,complete
541,complete
542,complete
543,complete
544,complete
545,complete
546,cancelled
547,complete
548,complete
549,cancelled
550,complete
551,cancelled
552,complete
553,complete
554,complete
555,complete
556,complete
557,complete
558,complete
559,complete
560,complete
561,complete
562,complete
563,complete
564,complete
565,complete
566,complete
567,complete
568,complete
569,complete
570,complete
571,complete
572,complete
573,complete
574,complete
575,cancelled
576,complete
577,complete
578,cancelled
579,complete
580,complete
581,complete
582,complete
583,cancelled
584,cancelled
585,complete
586,complete
587,cancelled
588,complete
589,cancelled
590,complete
591,complete
592,complete
593,complete
594,complete
595,cancelled
596,cancelled
597,complete
598,complete
599,complete
600,complete
601,complete
602,complete
603,complete
604,complete
605,complete
606,complete
607,complete
608,cancelled
609,complete
610,cancelled
611,cancelled
612,cancelled
613,complete
614,complete
615,complete
616,complete
617,complete
618,complete
619,cancelled
620,complete
621,complete
622,complete
623,complete
624,complete
625,complete
626,complete
627,complete
628,complete
629,complete
630,complete
631,complete
632,complete
633,complete
634,complete
635,complete
636,complete
637,cancelled
638,complete
639,complete
640,complete
641,complete
642,complete
643,cancelled
644,complete
645,complete
646,complete
647,complete
648,complete
649,complete
650,complete
651,complete
652,complete
653,complete
654,cancelled
655,complete
656,complete
